……筋疲力盡的[0x000A]奈克洛茲瑪跪倒在地。
要把Ｚ強力手環的光[0x000A]給奈克洛茲瑪嗎？
給牠
算了
力諾……！！
奈克洛茲瑪消失不見了……
發現了從奈克洛茲瑪身上[0x000A]掉落的Ｚ純晶……
{0x0100,0x0000}[0x000A]獲得了究極奈克洛Ｚ！
幹得好！{0x0114,0x002B}
好久不見！ [0x000A]{0x0100,0x0000}！{0xBE01}[0x000A]能讓奈克洛茲瑪成為夥伴，[0x000A]你實在太優秀了！{0x0114,0x002B}
很好！[0x000A]我就把這個給你！{0xBE01}[0x000A]究極調查隊拜託我[0x000A]開發控制奈克洛茲瑪的裝置，{0xBE00}[0x000A]但我不喜歡，所以進行了改良！{0xBE01}[0x000A]這是用來進一步激發[0x000A]奈克洛茲瑪力量的裝置！！{0x0114,0x002B}
很好！[0x000A]我就把這個給你！{0xBE01}[0x000A]究極調查隊拜託我[0x000A]開發控制奈克洛茲瑪的裝置，{0xBE00}[0x000A]但我不喜歡，所以進行了改良！{0xBE01}[0x000A]這是用來進一步激發[0x000A]奈克洛茲瑪力量的裝置！！{0x0114,0x002B}
也就是！能讓奈克洛茲瑪[0x000A]與傳說中的寶可夢{0xBE00}[0x000A]索爾迦雷歐合體的裝置！{0xBE01}[0x000A]阿克羅瑪機器１１９８號！[0x000A]正式名稱是奈克洛索爾合體器！！{0x0114,0x002B}
再給你！能讓奈克洛茲瑪[0x000A]與傳說中的寶可夢{0xBE00}[0x000A]露奈雅拉合體的裝置！{0xBE01}[0x000A]阿克羅瑪機器１１９９號！[0x000A]正式名稱是奈克洛露奈合體器！！{0x0114,0x002B}
話說回來，我聽說了。{0xBE01}[0x000A]聽說你和索爾迦雷歐……[0x000A]不，進化成索爾迦雷歐前的科斯莫古，{0xBE00}[0x000A]第一次相遇是在馬哈羅山路呢。{0x0114,0x002B}
話說回來，我聽說了。{0xBE01}[0x000A]聽說你和露奈雅拉……[0x000A]不，進化成露奈雅拉前的科斯莫古，{0xBE00}[0x000A]第一次相遇是在馬哈羅山路呢。{0x0114,0x002B}
像你這樣的訓練家，[0x000A]一定能正確地使用{0xBE00}[0x000A]阿羅拉的傳說寶可夢和奈克洛茲瑪{0xBE00}[0x000A]所擁有的驚人力量吧！！{0x0114,0x002B}
出於各種原因……[0x000A]我對寶可夢的合體還算熟悉！{0xBE01}[0x000A]那麼，祝你好運！{0x0114,0x002B}
