msg_partner_001={0x0102,0x0001}が　{0x0100,0x0000}を[0x000A]つっついて　きた！{0xBE00}[0x000A]つっつき　かえしますか？
msg_partner_002={0x0102,0x0001}は　足に[0x000A]ぺったり　くっついてきた
msg_partner_003={0x0102,0x0001}は　急に[0x000A]怒りだした！
msg_partner_004={0x0102,0x0001}は　なんだか[0x000A]しょんぼり　してる……
msg_partner_005={0x0102,0x0001}は　寒くて[0x000A]スリスリ　すり寄ってきた！
msg_partner_006={0x0102,0x0001}は　すごく　喜んだ！
msg_partner_007={0x0102,0x0001}は　ピタッと[0x000A]くっついてきた！{0xBE00}[0x000A]かまって　あげますか？
msg_partner_008={0x0102,0x0001}は　まわりのもの　に[0x000A]興味津々　だ！
msg_partner_009={0x0102,0x0001}は　遊んで欲しそうに[0x000A]こっちを　見つめている……{0xBE00}[0x000A]ちょっと　かまって　あげますか？
msg_partner_010={0x0102,0x0001}は　いきなり[0x000A]体を　押してきた！{0xBE00}[0x000A]注意　しますか？
msg_partner_011={0x0102,0x0001}は　なんだか[0x000A]うとうと　してる……{0xBE00}[0x000A]名前を　呼んで　みますか？
msg_partner_012={0x0102,0x0001}は　いきなり[0x000A]キュッと　くっついてきた！{0xBE00}[0x000A]少し　かまって　あげますか？
msg_partner_013={0x0102,0x0001}は[0x000A]こちらを　見つめてる……{0xBE00}[0x000A]名前を　呼んで　みますか？
msg_partner_014={0x0102,0x0001}は　急に[0x000A]ちょっかいを　出してきた！{0xBE00}[0x000A]少し　かまって　あげますか？
msg_partner_015={0x0102,0x0001}は　不安そうに[0x000A]キョロキョロ　見回してる{0xBE00}[0x000A]声を　かけて　あげますか？
msg_partner_016={0x0102,0x0001}は[0x000A]ボーっと　してる……{0xBE00}[0x000A]声を　かけて　みますか？
msg_partner_017={0x0102,0x0001}は　突然[0x000A]足に　すり寄ってきた！
msg_partner_018={0x0102,0x0001}は　葉っぱが[0x000A]少し　へなっと　たれてる
msg_partner_019={0x0102,0x0001}は　楽しそうに[0x000A]ついてきてる！
msg_partner_020={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]遊びたそうだ！
msg_partner_021={0x0102,0x0001}は　甘えた目で[0x000A]こっちを　見ている！
msg_partner_022={0x0102,0x0001}は　一生懸命[0x000A]ついて　きてる！
msg_partner_023={0x0102,0x0001}は　嬉しくて[0x000A]小躍り　してる！
msg_partner_024={0x0102,0x0001}は　嬉しくて[0x000A]すり寄ってきた！
msg_partner_025={0x0102,0x0001}は　嬉しそうな[0x000A]顔を　してる！
msg_partner_026={0x0102,0x0001}は　気持ち良さそうに[0x000A]ついてきてる！
msg_partner_027={0x0102,0x0001}は　クルッと[0x000A]回転　した！
msg_partner_028={0x0102,0x0001}は　こちらを[0x000A]じーっと　見てる
msg_partner_029={0x0102,0x0001}は　こっちを　向いて[0x000A]ニコッと　した！
msg_partner_030={0x0102,0x0001}は　嬉しくて[0x000A]スキップ　なんて　してる！
msg_partner_031={0x0102,0x0001}は[0x000A]とっても　嬉しそうだ！
msg_partner_032={0x0102,0x0001}は　ピョンっと[0x000A]身軽に　ジャンプした！
msg_partner_033={0x0102,0x0001}は　フンフンっと[0x000A]元気に　動いた！
msg_partner_034={0x0102,0x0001}は　まっすぐに[0x000A]こっちを　見つめてる！
msg_partner_035={0x0102,0x0001}は[0x000A]目を　そらした……
msg_partner_036={0x0102,0x0001}は　相手に　向かって[0x000A]大きく　唸り声を　上げた！
msg_partner_037={0x0102,0x0001}は　足元を[0x000A]つついて　きた
msg_partner_038={0x0102,0x0001}は　いきおいよく[0x000A]火を　出した！
msg_partner_039={0x0102,0x0001}は　いきなり[0x000A]怒り　始めた！
msg_partner_040={0x0102,0x0001}は　地面を[0x000A]つっついて　遊んでる
msg_partner_041={0x0102,0x0001}は　ウキウキしてる！
msg_partner_042={0x0102,0x0001}は　海を[0x000A]じーっと　見つめてる
msg_partner_043={0x0102,0x0001}は　海を　見て[0x000A]喜んでる！
msg_partner_044={0x0102,0x0001}は[0x000A]奥を　じーっと　見てる……
msg_partner_045={0x0102,0x0001}は[0x000A]お腹を　ツンツン　してきた！
msg_partner_046={0x0102,0x0001}は[0x000A]体が　ピリッと　したみたい！
msg_partner_047={0x0102,0x0001}は[0x000A]機械の　音を　聞いてる
msg_partner_048={0x0102,0x0001}は　キョロキョロ　してる
msg_partner_049={0x0102,0x0001}は　木を[0x000A]じーっと　見てる
msg_partner_050={0x0102,0x0001}は[0x000A]緊張して　硬くなってる
msg_partner_051={0x0102,0x0001}は　草を[0x000A]つついて　遊んでる
msg_partner_052={0x0102,0x0001}は　口を[0x000A]あんぐり　開けている
msg_partner_053={0x0102,0x0001}は[0x000A]口を　ガチガチ　ならしてる！
msg_partner_054={0x0102,0x0001}は[0x000A]頑張って　ついてきてる……
msg_partner_055={0x0102,0x0001}は　くんくん[0x000A]潮の　かおりを　嗅いでいる
msg_partner_056={0x0102,0x0001}は[0x000A]元気　いっぱいだ！
msg_partner_057={0x0102,0x0001}は[0x000A]元気よく　跳びあがった！
msg_partner_058={0x0102,0x0001}は[0x000A]こっちを　見て　ニヤッとした
msg_partner_059={0x0102,0x0001}は　ゴロゴロしてる
msg_partner_060={0x0102,0x0001}は　怖がって[0x000A]{0x0100,0x0000}に　すり寄った！
msg_partner_061={0x0102,0x0001}は　寒くって[0x000A]ウキウキ　してる！
msg_partner_062={0x0102,0x0001}は　寒くて[0x000A]嫌そうな　顔をしてる……
msg_partner_063={0x0102,0x0001}は　寒くて[0x000A]キャッキャ　してる！
msg_partner_064={0x0102,0x0001}は　寒くて[0x000A]体を　少し　小さくしてる……
msg_partner_065={0x0102,0x0001}は[0x000A]潮風を　うけて　気持ち良さそう！
msg_partner_066={0x0102,0x0001}は[0x000A]尻尾の　火を　ボッとした！
msg_partner_067={0x0102,0x0001}は[0x000A]自転車が　気になる　みたい！
msg_partner_068={0x0102,0x0001}は　地面の　匂いを[0x000A]クンクン　嗅いでる
msg_partner_069={0x0102,0x0001}は　地面を[0x000A]コツコツ　つっついてる
msg_partner_070={0x0102,0x0001}は[0x000A]少し　疲れてる　みたい
msg_partner_071={0x0102,0x0001}は　外を　気にしてる！
msg_partner_072={0x0102,0x0001}は　ちょっと　怖がってる
msg_partner_073={0x0102,0x0001}は[0x000A]釣りを　じっと　見てる
msg_partner_074={0x0102,0x0001}は　つるを[0x000A]ビシッと　した！
msg_partner_075={0x0102,0x0001}は　つるを[0x000A]フリフリした！
msg_partner_076={0x0102,0x0001}は[0x000A]展示品を　じーっと　見てる
msg_partner_077={0x0102,0x0001}は[0x000A]とっても　寒そうだ！
msg_partner_078={0x0102,0x0001}は[0x000A]とっても　楽しそう！
msg_partner_079={0x0102,0x0001}は　流れる　海を[0x000A]ジッと　見つめてる……
msg_partner_080={0x0102,0x0001}は　なにかの　音に[0x000A]びっくりした！
msg_partner_081={0x0102,0x0001}は　なにかの　気配を[0x000A]感じて　びっくりしている！
msg_partner_082={0x0102,0x0001}は　なにかを[0x000A]見つけたみたい！
msg_partner_083={0x0102,0x0001}は　波の音を[0x000A]じーっと　聞いてる
msg_partner_084={0x0102,0x0001}は　波を見て[0x000A]喜んでる！
msg_partner_085={0x0102,0x0001}は　なんだか[0x000A]怪しい　音が　聞こえるみたい
msg_partner_086={0x0102,0x0001}は　なんだか　怒ってる！
msg_partner_087={0x0102,0x0001}は　なんだか[0x000A]寒そうに　してる……
msg_partner_088={0x0102,0x0001}は　なんだか　楽しそう！
msg_partner_089={0x0102,0x0001}は　なんだか[0x000A]とっても　嬉しそう！
msg_partner_090={0x0102,0x0001}は[0x000A]ニコッと　こっちを　見た
msg_partner_091={0x0102,0x0001}は　のんびり　してる
msg_partner_092={0x0102,0x0001}は　ピョンピョンと[0x000A]ジャンプを　した！
msg_partner_093={0x0102,0x0001}は　不安そうに[0x000A]{0x0100,0x0000}を　つっついてきた
