msg_partner_001={0x0102,0x0001}が　{0x0100,0x0000}を[0x000A]つっついて　きた！{0xBE00}[0x000A]つっつき　かえしますか？
msg_partner_002={0x0102,0x0001}は　あしに[0x000A]ぺったり　くっついてきた
msg_partner_003={0x0102,0x0001}は　きゅうに[0x000A]おこりだした！
msg_partner_004={0x0102,0x0001}は　なんだか[0x000A]しょんぼり　してる……
msg_partner_005={0x0102,0x0001}は　さむくて[0x000A]スリスリ　すりよってきた！
msg_partner_006={0x0102,0x0001}は　すごく[0x000A]よろこんだ！
msg_partner_007={0x0102,0x0001}は　ピタッと[0x000A]くっついてきた！{0xBE00}[0x000A]かまって　あげますか？
msg_partner_008={0x0102,0x0001}は　まわりのもの　に[0x000A]きょうみ　しんしん　だ！
msg_partner_009={0x0102,0x0001}は　あそんでほしそうに[0x000A]こっちを　みつめてる……{0xBE00}[0x000A]ちょっと　かまって　あげますか？
msg_partner_010={0x0102,0x0001}は　いきなり[0x000A]からだを　おしてきた！{0xBE00}[0x000A]ちゅうい　しますか？
msg_partner_011={0x0102,0x0001}は　なんだか[0x000A]うとうと　してる……{0xBE00}[0x000A]なまえを　よんで　みますか？
msg_partner_012={0x0102,0x0001}は　いきなり[0x000A]キュッと　くっついてきた！{0xBE00}[0x000A]すこし　かまって　あげますか？
msg_partner_013={0x0102,0x0001}は[0x000A]こちらを　みつめてる……{0xBE00}[0x000A]なまえを　よんで　みますか？
msg_partner_014={0x0102,0x0001}は　きゅうに[0x000A]ちょっかいを　だしてきた！{0xBE00}[0x000A]すこし　かまって　あげますか？
msg_partner_015={0x0102,0x0001}は　ふあんそうに[0x000A]キョロキョロ　みまわしてる{0xBE00}[0x000A]こえを　かけて　あげますか？
msg_partner_016={0x0102,0x0001}は[0x000A]ボーっと　してる……{0xBE00}[0x000A]こえを　かけて　みますか？
msg_partner_017={0x0102,0x0001}は　とつぜん[0x000A]あしに　すりよってきた！
msg_partner_018={0x0102,0x0001}は　はっぱが[0x000A]すこし　へなっと　たれてる
msg_partner_019={0x0102,0x0001}は　たのしそうに[0x000A]ついてきてる！
msg_partner_020={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]あそびたそうだ！
msg_partner_021={0x0102,0x0001}は　あまえためで[0x000A]こっちを　みている！
msg_partner_022={0x0102,0x0001}は　いっしょうけんめい[0x000A]ついて　きてる！
msg_partner_023={0x0102,0x0001}は　うれしくて[0x000A]こおどり　してる！
msg_partner_024={0x0102,0x0001}は　うれしくて[0x000A]すりよってきた！
msg_partner_025={0x0102,0x0001}は　うれしそうな[0x000A]かおを　してる！
msg_partner_026={0x0102,0x0001}は　きもちよさそうに[0x000A]ついてきてる！
msg_partner_027={0x0102,0x0001}は　クルッと[0x000A]かいてん　した！
msg_partner_028={0x0102,0x0001}は　こちらを[0x000A]じーっと　みてる
msg_partner_029={0x0102,0x0001}は　こっちを　むいて[0x000A]ニコッと　した！
msg_partner_030={0x0102,0x0001}は　うれしくて[0x000A]スキップ　なんて　してる！
msg_partner_031={0x0102,0x0001}は[0x000A]とっても　うれしそうだ！
msg_partner_032={0x0102,0x0001}は　ピョンっと[0x000A]みがるに　ジャンプした！
msg_partner_033={0x0102,0x0001}は　フンフンっと[0x000A]げんきに　うごいた！
msg_partner_034={0x0102,0x0001}は　まっすぐに[0x000A]こっちを　みつめてる！
msg_partner_035={0x0102,0x0001}は[0x000A]めを　そらした……
msg_partner_036={0x0102,0x0001}は　あいてに　むかって[0x000A]おおきく　うなりごえを　あげた！
msg_partner_037={0x0102,0x0001}は　あしもとを[0x000A]つついて　きた
msg_partner_038={0x0102,0x0001}は　いきおいよく[0x000A]ひを　だした！
msg_partner_039={0x0102,0x0001}は　いきなり[0x000A]おこり　はじめた！
msg_partner_040={0x0102,0x0001}は　じめんを[0x000A]つっついて　あそんでる
msg_partner_041={0x0102,0x0001}は　ウキウキしてる！
msg_partner_042={0x0102,0x0001}は　うみを[0x000A]じーっと　みつめてる
msg_partner_043={0x0102,0x0001}は　うみを　みて[0x000A]よろこんでる！
msg_partner_044={0x0102,0x0001}は[0x000A]おくを　じーっと　みてる……
msg_partner_045={0x0102,0x0001}は[0x000A]おなかを　ツンツン　してきた！
msg_partner_046={0x0102,0x0001}は[0x000A]からだが　ピリッと　したみたい！
msg_partner_047={0x0102,0x0001}は[0x000A]きかいの　おとを　きいてる
msg_partner_048={0x0102,0x0001}は　キョロキョロ　してる
msg_partner_049={0x0102,0x0001}は　きを[0x000A]じーっと　みてる
msg_partner_050={0x0102,0x0001}は[0x000A]きんちょうして　かたくなってる
msg_partner_051={0x0102,0x0001}は　くさを[0x000A]つついて　あそんでる
msg_partner_052={0x0102,0x0001}は　くちを[0x000A]あんぐり　あけている
msg_partner_053={0x0102,0x0001}は[0x000A]くちを　ガチガチ　ならしてる！
msg_partner_054={0x0102,0x0001}は[0x000A]がんばって　ついてきてる……
msg_partner_055={0x0102,0x0001}は　くんくん[0x000A]しおの　かおりを　かいでいる
msg_partner_056={0x0102,0x0001}は[0x000A]げんき　いっぱいだ！
msg_partner_057={0x0102,0x0001}は[0x000A]げんきよく　とびあがった！
msg_partner_058={0x0102,0x0001}は[0x000A]こっちを　みて　ニヤッとした
msg_partner_059={0x0102,0x0001}は　ゴロゴロしてる
msg_partner_060={0x0102,0x0001}は　こわがって[0x000A]{0x0100,0x0000}に　すりよった！
msg_partner_061={0x0102,0x0001}は　さむくって[0x000A]ウキウキ　してる！
msg_partner_062={0x0102,0x0001}は　さむくて[0x000A]いやそうな　かおをしてる……
msg_partner_063={0x0102,0x0001}は　さむくて[0x000A]キャッキャ　してる！
msg_partner_064={0x0102,0x0001}は　さむくて[0x000A]からだを　すこし　ちいさくしてる……
msg_partner_065={0x0102,0x0001}は[0x000A]しおかぜを　うけて　きもちよさそう！
msg_partner_066={0x0102,0x0001}は[0x000A]しっぽの　ひを　ボッとした！
msg_partner_067={0x0102,0x0001}は[0x000A]じてんしゃが　きになる　みたい！
msg_partner_068={0x0102,0x0001}は　じめんの　においを[0x000A]クンクン　かいでる
msg_partner_069={0x0102,0x0001}は　じめんを[0x000A]コツコツ　つっついてる
msg_partner_070={0x0102,0x0001}は[0x000A]すこし　つかれてる　みたい
msg_partner_071={0x0102,0x0001}は　そとを　きにしてる！
msg_partner_072={0x0102,0x0001}は　ちょっと　こわがってる
msg_partner_073={0x0102,0x0001}は[0x000A]つりを　じっと　みてる
msg_partner_074={0x0102,0x0001}は　つるを[0x000A]ビシッと　した！
msg_partner_075={0x0102,0x0001}は　つるを[0x000A]フリフリした！
msg_partner_076={0x0102,0x0001}は[0x000A]てんじひんを　じーっと　みてる
msg_partner_077={0x0102,0x0001}は[0x000A]とっても　さむそうだ！
msg_partner_078={0x0102,0x0001}は[0x000A]とっても　たのしそう！
msg_partner_079={0x0102,0x0001}は　ながれる　うみを[0x000A]ジッと　みつめてる……
msg_partner_080={0x0102,0x0001}は　なにかの　おとに[0x000A]びっくりした！
msg_partner_081={0x0102,0x0001}は　なにかの　けはいを[0x000A]かんじて　びっくりしている！
msg_partner_082={0x0102,0x0001}は　なにかを[0x000A]みつけたみたい！
msg_partner_083={0x0102,0x0001}は　なみのおとを[0x000A]じーっと　きいてる
msg_partner_084={0x0102,0x0001}は　なみをみて[0x000A]よろこんでる！
msg_partner_085={0x0102,0x0001}は　なんだか[0x000A]あやしい　おとが　きこえるみたい
msg_partner_086={0x0102,0x0001}は　なんだか　おこってる！
msg_partner_087={0x0102,0x0001}は　なんだか[0x000A]さむそうに　してる……
msg_partner_088={0x0102,0x0001}は　なんだか　たのしそう！
msg_partner_089={0x0102,0x0001}は　なんだか[0x000A]とっても　うれしそう！
msg_partner_090={0x0102,0x0001}は[0x000A]ニコッと　こっちを　みた
msg_partner_091={0x0102,0x0001}は　のんびり　してる
msg_partner_092={0x0102,0x0001}は　ピョンピョンと[0x000A]ジャンプを　した！
msg_partner_093={0x0102,0x0001}は　ふあんそうに[0x000A]{0x0100,0x0000}を　つっついてきた
msg_partner_094={0x0102,0x0001}は　ふねと[0x000A]いっしょに　ゆらゆらしてる！
msg_partner_095={0x0102,0x0001}は　ふらふら　してる！
msg_partner_096={0x0102,0x0001}は[0x000A]プルプル　ふるえてる……
msg_partner_097={0x0102,0x0001}は　ポケモンリーグを[0x000A]まっすぐ　みつめてる
msg_partner_098={0x0102,0x0001}は[0x000A]ボッと　ほのおを　だした！
msg_partner_099={0x0102,0x0001}は　ほのおを　だして[0x000A]きあいを　いれた！
msg_partner_100={0x0102,0x0001}は　ボロボロの[0x000A]ゆかを　みつめてる
msg_partner_101={0x0102,0x0001}は　ふねに[0x000A]のれて　たのしそう！
msg_partner_102={0x0102,0x0001}は　まだまだ　げんき　だ！
msg_partner_103={0x0102,0x0001}は　まだまだ[0x000A]ふねから　おりたくない　みたい
msg_partner_104={0x0102,0x0001}は　まわりをみて[0x000A]ぽかーんと　してる
msg_partner_105={0x0102,0x0001}は　みずを[0x000A]ぴゅーっと　だした！
msg_partner_106={0x0102,0x0001}は　めをとじて[0x000A]しずかに　している……
msg_partner_107={0x0102,0x0001}は　もりを　みあげて[0x000A]キョロキョロ　してる
msg_partner_108={0x0102,0x0001}は[0x000A]やけどが　いたそうだ！
msg_partner_109={0x0102,0x0001}は　やまを[0x000A]じーっと　みつめてる
msg_partner_110={0x0102,0x0001}は　やまをみて[0x000A]たのしそうに　してる！
msg_partner_111={0x0102,0x0001}は[0x000A]ゆうがに　そらを　とんでいる！
msg_partner_112={0x0102,0x0001}は　ゆったり[0x000A]リラックス　してる
msg_partner_113={0x0102,0x0001}は　ゆれるふねに[0x000A]あわせて　おどってる！
msg_partner_114={0x0102,0x0001}は[0x000A]よゆう　たっぷりだ！
msg_partner_115={0x0102,0x0001}は[0x000A]あしもとを　つついて　きた
msg_partner_116={0x0102,0x0001}は[0x000A]いきおいよく　ほのおを　だした！
msg_partner_117={0x0102,0x0001}は[0x000A]いまにも　たおれそうだ！
msg_partner_118={0x0102,0x0001}は[0x000A]うれしくて　うたってる！
msg_partner_119={0x0102,0x0001}は　なんだか[0x000A]うれしくて　てれちゃってる！
msg_partner_120={0x0102,0x0001}は[0x000A]ウワーっと　あくびを　した！
msg_partner_121={0x0102,0x0001}は[0x000A]おなかを　ツンツン　してきた！
msg_partner_122={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]かおを　じーっとみてる
msg_partner_123={0x0102,0x0001}は[0x000A]きもちよさそうに　かぜを　うけてる
msg_partner_124={0x0102,0x0001}は[0x000A]キョロキョロ　ビルを　ながめてる
msg_partner_125={0x0102,0x0001}は　くさむらから[0x000A]いしころを　みつけて　よろこんでる！
msg_partner_126={0x0102,0x0001}は　くさむらを[0x000A]ふみしめている！
msg_partner_127={0x0102,0x0001}は　クンクン[0x000A]へやの　においを　かいでる
msg_partner_128={0x0102,0x0001}は　げんきに[0x000A]ついて　きてる！
msg_partner_129={0x0102,0x0001}は　さむくて[0x000A]プルプル　してる……
msg_partner_130={0x0102,0x0001}は　したを[0x000A]じーっと　のぞいている
msg_partner_131={0x0102,0x0001}は　すこし[0x000A]こわがっているみたい……
msg_partner_132={0x0102,0x0001}は　そらを[0x000A]じーっと　みつめている
msg_partner_133={0x0102,0x0001}は[0x000A]そらを　みあげている
msg_partner_134={0x0102,0x0001}は　とおくを[0x000A]じーっと　みつめてる
msg_partner_135={0x0102,0x0001}は　どくで[0x000A]ぶるぶる　してる……
msg_partner_136={0x0102,0x0001}は[0x000A]とっても　よろこんでる！
msg_partner_137={0x0102,0x0001}は[0x000A]なんとか　ついて　きてる
msg_partner_138={0x0102,0x0001}は[0x000A]ねむいのを　なんとか　こらえてる……
msg_partner_139={0x0102,0x0001}は　ねむくて[0x000A]うとうと　してる……
msg_partner_140={0x0102,0x0001}は　ノリノリで[0x000A]ダンスを　おどった！
msg_partner_141={0x0102,0x0001}は　はっぱを[0x000A]ピョコピョコ　させてる
msg_partner_142={0x0102,0x0001}は　はっぱを[0x000A]フリフリ　してる
msg_partner_143={0x0102,0x0001}は[0x000A]ひを　ボッと　だした
msg_partner_144={0x0102,0x0001}は　ひを[0x000A]ボボッと　だした
msg_partner_145={0x0102,0x0001}は　ひを[0x000A]ポンッポンッと　だしている！
msg_partner_146={0x0102,0x0001}は　やるき　いっぱいだ！
msg_partner_147=……[0x000A]くしゃみ　したみたい！
msg_partner_148=……[0x000A]ちょっと　さむそうに　してる
msg_partner_149=……[0x000A]なにか　へんなものを　たべたみたい{0xBE00}[0x000A]まずそうな　かおをしてる……
msg_partner_150=……[0x000A]なにかに　びっくり　している
msg_partner_151=……[0x000A]なにかを　こわがってる
msg_partner_152=……[0x000A]なんだか　いいにおいが　するみたい
msg_partner_153=……あ！[0x000A]たなを　いじろうと　してる！{0xBE00}[0x000A]ちゅうい　しますか？
msg_partner_154=……[0x000A]こっちを　にらんでる
msg_partner_155=……たなが[0x000A]くずれそうになって　びっくりした！
msg_partner_156=……[0x000A]たなが　ぐちゃぐちゃに　なった
msg_partner_157=……[0x000A]めを　あわせて　くれない
msg_partner_158=……[0x000A]よんでも　こっちに　きてくれない
msg_partner_159=あ！　{0x0102,0x0001}は[0x000A]コードを　くわえてる！{0xBE00}[0x000A]おこりますか？
msg_partner_160=あ！[0x000A]つまみぐいを　しようとしてる！{0xBE00}[0x000A]ちゅうい　しますか？
msg_partner_161=あ！[0x000A]はっぱが　ついてる！
msg_partner_162={0x0100,0x0000}の　あしあとを[0x000A]みて　よろこんでる！
msg_partner_163=いいてんきで　うれしい　みたい！
msg_partner_164=クンクン！[0x000A]いいにおいが　するみたい！
msg_partner_165={0x0102,0x0001}は[0x000A]いやがって　おこりだした！
msg_partner_166=いろんな　どうぐを　ジロジロみてる
msg_partner_167={0x0102,0x0001}は　きみょうな　うごきで[0x000A]フラフラと　おどった
msg_partner_168={0x0102,0x0001}は[0x000A]ユラユラ　ふしぎに　おどった
msg_partner_169={0x0102,0x0001}は　きみょうな　うごきで[0x000A]ユラーッと　おどった
msg_partner_170={0x0102,0x0001}は[0x000A]ユラユラーっと　ふしぎに　おどった
msg_partner_171=うみを　ジッと　みつめてる！
msg_partner_172=ウワーっと　あくびをした！
msg_partner_173=おくのほうから[0x000A]かぜが　ふいてくる　みたい
msg_partner_174={0x0102,0x0001}は[0x000A]やるきを　だしている！
msg_partner_175=からだを　のばして[0x000A]リラックス　してる
msg_partner_176=きもちよくて　ねむそうに　してる
msg_partner_177={0x0102,0x0001}は[0x000A]おおきく　おたけびを　あげた！
msg_partner_178={0x0102,0x0001}は　キョロキョロ[0x000A]しょうひんを　みまわしてる
msg_partner_179=クンクン　ゆかの　においを　かいでる
msg_partner_180=クンクン！[0x000A]なんだか　いいにおいが　するみたい！
msg_partner_181={0x0102,0x0001}は　いつも　いじょうに[0x000A]ビシビシッと　はねている！
msg_partner_182=こくばんを[0x000A]じっと　みつめてる……{0xBE00}[0x000A]でも　わからない　みたい
msg_partner_183={0x0102,0x0001}は[0x000A]さくのむこうが　きになる　みたい
msg_partner_184={0x0102,0x0001}は　さむいのが[0x000A]とっても　うれしい　みたい！
msg_partner_185={0x0102,0x0001}は[0x000A]さむそうにして　ちかづいてきた！
msg_partner_186=じてんしゃの　ネジをころがしてる
msg_partner_187={0x0102,0x0001}は　ちょっと[0x000A]びっくり　したみたい
msg_partner_188=ちょっと　よだれを　たらしてる……
msg_partner_189=ツンツン　からだを[0x000A]つっついてきた！
msg_partner_190=からだを　のばして[0x000A]リラックス　してる！
msg_partner_191={0x0102,0x0001}は[0x000A]とおくを　じーっと　みつめてる
msg_partner_192=なんだか　おこってる！
msg_partner_193=なんだか　いいにおいが[0x000A]するみたいで　クンクンしてる！
msg_partner_194=なんだか　かべから[0x000A]おとが　するみたい……
msg_partner_195=なんだか　さむいかぜが　ふいてきた！
msg_partner_196={0x0102,0x0001}は[0x000A]なんだか　はずかしそうに　してる
msg_partner_197={0x0102,0x0001}は[0x000A]はなうた　なんて　うたってる！　
msg_partner_198=はなびらが　かおに　ついてる！
msg_partner_199={0x0102,0x0001}は[0x000A]おこったかおで　うなってる！
msg_partner_200=ピシャピシャ　みずで　あそんでる！
msg_partner_201=びっくりして　こっちむいた！
msg_partner_202=ピョンピョン　とぶのが[0x000A]たのしい　みたい！
msg_partner_203={0x0102,0x0001}は[0x000A]ビリッと　からだを　ふるわせた！
msg_partner_204={0x0102,0x0001}は　ブルブル[0x000A]からだを　ゆらしている！
msg_partner_205=ブスッとした　かおで[0x000A]そっぽむいてる……
msg_partner_206=まえが　みえなくて　ぶつかった！
msg_partner_207={0x0102,0x0001}は　ブルブル[0x000A]からだを　ゆらしている！
msg_partner_208=まわりを　キョロキョロ[0x000A]みまわしてる
msg_partner_209={0x0102,0x0001}は[0x000A]いきなり　さけびだした！
msg_partner_210={0x0102,0x0001}は　バシンバシンと[0x000A]じめんを　たたきだした！
msg_partner_211={0x0102,0x0001}は[0x000A]てんじょうに　むかって　ほえた！
msg_partner_212={0x0102,0x0001}は　いきなり[0x000A]くるくるっと　まわりだした！
msg_partner_213={0x0102,0x0001}は[0x000A]きゅうに　さけびはじめた！
msg_partner_214={0x0102,0x0001}は[0x000A]ブルブルッと　ふるえだした
msg_partner_215=やまの　ちょうじょうを[0x000A]ジーッと　みつめてる
msg_partner_216=わ！　{0x0102,0x0001}が[0x000A]いきなり　だきついてきた！
msg_partner_217=わ！　{0x0102,0x0001}が[0x000A]きゅうに　じゃれてきた！
msg_partner_218=わ！　{0x0102,0x0001}は[0x000A]うれしくて　おどっちゃった！
msg_partner_219=わ！[0x000A]さむいかぜが　ふいてきた！　……{0xBE00}[0x000A]なんだか　うれしそうに　してる？
msg_partner_220=わ！[0x000A]きゅうに　すりよってきた！{0xBE00}[0x000A]あたまを　なでて　あげますか？
msg_partner_221=わ！[0x000A]きゅうに　ほえだした！
msg_partner_222=ちょっと　ピリッと　したみたい！
msg_partner_223={0x0102,0x0001}は　ここぞとばかりに[0x000A]ちからづよさを　アピールした！
msg_partner_224={0x0102,0x0001}は　ゆびを[0x000A]ふりふりして　おどってる！
msg_partner_225={0x0102,0x0001}は　なんだか[0x000A]こうふんして　はないきが　あらい！
msg_partner_226={0x0102,0x0001}は　ゆらゆらして[0x000A]なんだか　たのしそう
msg_partner_227={0x0102,0x0001}は　ピチピチ[0x000A]はねている！
msg_partner_228={0x0102,0x0001}は[0x000A]たのしそうに　ジャンプした！
msg_partner_229={0x0102,0x0001}は　ほかの[0x000A]ポケモンたちと　あそびたそう！
msg_partner_230={0x0102,0x0001}は[0x000A]くるくると　おなかをまわした
msg_partner_231=……　おや？[0x000A]{0x0102,0x0001}の　ようすが……{0xBE00}[0x000A]かわらなかった！
msg_partner_232={0x0102,0x0001}は　つるをのばして[0x000A]からみついてきた！{0xBE00}[0x000A]なんだか　たのしそう！
msg_partner_233={0x0102,0x0001}は[0x000A]とても　リラックスしてる
msg_partner_234={0x0102,0x0001}は　[0x000A]けんきゅうじょを　キョロキョロみてる
msg_partner_235=マシンが　グルグルしてるのが[0x000A]きになるみたい
msg_partner_236={0x0102,0x0001}は[0x000A]やるきを　だしている！
msg_partner_237={0x0102,0x0001}は[0x000A]はりきってる！
msg_partner_238={0x0102,0x0001}は[0x000A]ケースのなかが　きになるみたい
