
Ein kleines Fragment, von dem eine rätselhafte Kraft ausgeht. Die Musterung in seinem Inneren erinnert an Hamanasu-Rosen.
Ein großes Fragment, von dem eine rätselhafte Kraft ausgeht. Die Musterung in seinem Inneren erinnert an Hamanasu-Rosen.
Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Weisungskammer im Hamanasu-Park spüren.



Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Kanto-Kammer im Hamanasu-Park spüren.



Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Johto-Kammer im Hamanasu-Park spüren.



Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Gefühlskammer im Hamanasu-Park spüren.


Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Regenbogenkammer im Hamanasu-Park spüren.

Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Sturmkammer im Hamanasu-Park spüren.

Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Meereskammer im Hamanasu-Park spüren.

Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Kontinentkammer im Hamanasu-Park spüren.

Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Himmelskammer im Hamanasu-Park spüren.

Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Genkammer im Hamanasu-Park spüren.

Eine Platte, die vor rätselhafter Energie strotzt.Man kann eine starke Verbindung zwischen ihr und der Zerrkammer im Hamanasu-Park spüren.
Ein glühender Orb. Verstärkt Attacken vom Typ Drache und Geist, wenn Giratina ihn trägt.
