기다리고 있었습니다{0x0114,0x0030}
이런 이런 실례[0x000A]인사가 늦었습니다{0xBE01}[0x000A]전 자우보라고 합니다{0xBE01}[0x000A]일전에 당신에게 훌륭한 곳으로[0x000A]안내하겠다고 말씀드렸죠?{0xBE00}[0x000A]그 훌륭한 곳은 바로...{0xBE01}[0x000A]{0xFF00,0x0001}에테르파라다이스{0xFF00,0x0000}!!{0x0114,0x0030}
에테르파라다이스란[0x000A]알로라 바다에 떠 있는{0xBE00}[0x000A]포켓몬의 낙원!{0xBE01}[0x000A]포켓몬 보호를 위한[0x000A]인공 섬!{0xBE01}[0x000A]제가 약속을 잘 지키는[0x000A]어른이란 것을 확인할 겸{0xBE00}[0x000A]에테르파라다이스로 가시겠습니까!?{0x0114,0x0015}
예 예 탑승하세요[0x000A]에테르파라다이스는 굉장합니다{0x0114,0x0015}
흠 그렇군요{0xBE01}[0x000A]꼬맹이는... 아니 어린이는[0x000A]정신없는... 아니{0xBE00}[0x000A]프리덤한 존재니까요{0xBE01}[0x000A]하지만 제가 듣고 싶은 건[0x000A]네라는 대답뿐입니다!{0x0114,0x0015}
기다려![0x000A]나도 데려가 줘!{0x0114,0x0007}
엥? 섬의 여왕[0x000A]라이치님까지 배웅할 줄이야{0x0114,0x0015}
섬 순례를 하는 트레이너는[0x000A]섬의 여왕에게 있어서 귀여운{0xBE00}[0x000A]자식 같은 존재니까{0xBE01}[0x000A]...결혼한 적은 없지만!{0x0114,0x0009}
잘 들어 두 사람!{0xBE01}[0x000A]경쟁 상대는 자기 자신[0x000A]함께 나아가는 건 포켓몬이야{0x0114,0x0009}
박사님은?{0x0114,0x0007}
나는 꼭 해야만 하는 일이[0x000A]많이 있어!{0xBE01}[0x000A]나를 대신해서 굉장하다고 소문난[0x000A]재단의 테크놀로지를 보고 와{0x0114,0x0005}
좋아![0x000A]이번엔 다음 섬...{0xBE01}[0x000A]울라울라섬의[0x000A]말리에 정원에서 만나자!{0x0114,0x0005}
응 안녕~[0x000A]아칼라섬~!{0xBE01}[0x000A]무슨 일이 생기면[0x000A]또 돌아올게~{0x0114,0x0007}
그럼 잠시 동안[0x000A]배 여행을 즐겨 주세요{0xBE01}[0x000A]...연락선이지만{0x0114,0x0015}
